station_name,id,station_id,latitude,longitude,capacity
Lamon Ave & Armitage Ave,21357,1871990322214447924,41.91676,-87.749458,15
Wells St & Walton St,TA1306000011,a3a44ec7-a135-11e9-9cda-0a87ae2ba916,41.89993001,-87.63443007,19
Stony Island Ave & 63rd St,653B,1754781885939323186,41.780506,-87.586853,11
Rhodes Ave & 71st St,652,a3b46866-a135-11e9-9cda-0a87ae2ba916,41.766,-87.611726,11
Peoria St & Jackson Blvd,13158,a3a5f0b8-a135-11e9-9cda-0a87ae2ba916,41.8776415962753,-87.64961779117584,19
Ogden Ave & Congress Pkwy,13081,a3a5af44-a135-11e9-9cda-0a87ae2ba916,41.87501,-87.67328,15
Laramie Ave & Addison St,23167,1926946441362045298,41.9456842,-87.7569344,15
Stewart Ave & 123rd St,24412,1989976253005812134,41.6706,-87.63244,16
Franklin St & Illinois St,RN-,8995498f-1209-4b06-9317-01cd695b3b61,41.89102331025185,-87.63547986745834,11
Artesian Ave & Hubbard St,15664,a3aca790-a135-11e9-9cda-0a87ae2ba916,41.8895,-87.688257,27
Kimball Ave & Belmont Ave,KA150400009X,a3aff616-a135-11e9-9cda-0a87ae2ba916,41.93939395344302,-87.71206766366959,15
Green St & Washington Blvd,13053,a3a57a52-a135-11e9-9cda-0a87ae2ba916,41.88318130597391,-87.64872461557388,11
Woodlawn Ave & 75th St,569,a3b25656-a135-11e9-9cda-0a87ae2ba916,41.75916,-87.595751,11
St. Louis & 71st St,23138,1861613253877461614,41.764354,-87.710121,15
Marshfield Ave & 44th St,549,a3b1efd6-a135-11e9-9cda-0a87ae2ba916,41.813996,-87.666589,11
Michigan Ave & Oak St,13042,a3a4f46b-a135-11e9-9cda-0a87ae2ba916,41.90096039,-87.62377664,23
